ID  | Name             | Type                     | Reading    | Units | Event
18  | UID              | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
19  | Sys Health LED   | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
20  | 01-Inlet Ambient | Temperature              | 18.00      | C     | 'OK'
21  | 02-CPU 1         | Temperature              | 40.00      | C     | 'OK'
22  | 03-CPU 2         | Temperature              | 40.00      | C     | 'OK'
23  | 04-P1 DIMM 1-6   | Temperature              | 27.00      | C     | 'OK'
24  | 05-P1 DIMM 7-12  | Temperature              | 30.00      | C     | 'OK'
25  | 06-P2 DIMM 1-6   | Temperature              | 25.00      | C     | 'OK'
26  | 07-P2 DIMM 7-12  | Temperature              | 26.00      | C     | 'OK'
27  | 08-HD Max        | Temperature              | 35.00      | C     | 'OK'
28  | 09-Exp Bay Drive | Temperature              | N/A        | C     | N/A
29  | 10-Chipset       | Temperature              | 38.00      | C     | 'OK'
30  | 11-PS 1 Inlet    | Temperature              | 24.00      | C     | 'OK'
31  | 12-PS 2 Inlet    | Temperature              | 26.00      | C     | 'OK'
32  | 13-VR P1         | Temperature              | 35.00      | C     | 'OK'
33  | 14-VR P2         | Temperature              | 31.00      | C     | 'OK'
34  | 15-VR P1 Mem     | Temperature              | 27.00      | C     | 'OK'
35  | 16-VR P1 Mem     | Temperature              | 28.00      | C     | 'OK'
36  | 17-VR P2 Mem     | Temperature              | 26.00      | C     | 'OK'
37  | 18-VR P2 Mem     | Temperature              | 26.00      | C     | 'OK'
38  | 19-PS 1 Internal | Temperature              | 40.00      | C     | 'OK'
39  | 20-PS 2 Internal | Temperature              | 40.00      | C     | 'OK'
40  | 21-PCI 1         | Temperature              | N/A        | C     | N/A
41  | 22-PCI 2         | Temperature              | N/A        | C     | N/A
42  | 23-PCI 3         | Temperature              | N/A        | C     | N/A
43  | 24-PCI 4         | Temperature              | N/A        | C     | N/A
44  | 25-PCI 5         | Temperature              | N/A        | C     | N/A
45  | 26-PCI 6         | Temperature              | N/A        | C     | N/A
46  | 27-HD Controller | Temperature              | 53.00      | C     | 'OK'
47  | 28-LOM Card      | Temperature              | N/A        | C     | N/A
48  | 29-LOM           | Temperature              | 44.00      | C     | 'OK'
49  | 30-Front Ambient | Temperature              | 24.00      | C     | 'OK'
50  | 31-PCI 1 Zone.   | Temperature              | 26.00      | C     | 'OK'
51  | 32-PCI 2 Zone.   | Temperature              | 26.00      | C     | 'OK'
52  | 33-PCI 3 Zone.   | Temperature              | 27.00      | C     | 'OK'
53  | 34-PCI 4 Zone    | Temperature              | 26.00      | C     | 'OK'
54  | 35-PCI 5 Zone    | Temperature              | 27.00      | C     | 'OK'
55  | 36-PCI 6 Zone    | Temperature              | 27.00      | C     | 'OK'
56  | 37-HD Cntlr Zone | Temperature              | 34.00      | C     | 'OK'
57  | 38-I/O Zone      | Temperature              | 30.00      | C     | 'OK'
