UID              | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Sys Health LED   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
01-Inlet Ambient | 18.000     | degrees C  | ok    | na        | na        | na        | na        | 42.000    | 50.000    
02-CPU 1         | 40.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        
03-CPU 2         | 40.000     | degrees C  | ok    | na        | na        | na        | na        | 70.000    | na        
04-P1 DIMM 1-6   | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 89.000    | na        
05-P1 DIMM 7-12  | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 89.000    | na        
06-P2 DIMM 1-6   | 27.000     | degrees C  | ok    | na        | na        | na        | na        | 89.000    | na        
07-P2 DIMM 7-12  | 26.000     | degrees C  | ok    | na        | na        | na        | na        | 89.000    | na        
08-HD Max        | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 60.000    | na        
09-Exp Bay Drive | na         |            | na    | na        | na        | na        | na        | 75.000    | na        
10-Chipset       | 44.000     | degrees C  | ok    | na        | na        | na        | na        | 105.000   | na        
11-PS 1 Inlet    | 23.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
12-PS 2 Inlet    | 25.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
13-VR P1         | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
14-VR P2         | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
15-VR P1 Mem     | 27.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
16-VR P1 Mem     | 28.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
17-VR P2 Mem     | 27.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
18-VR P2 Mem     | 26.000     | degrees C  | ok    | na        | na        | na        | na        | 115.000   | 120.000   
19-PS 1 Internal | 40.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
20-PS 2 Internal | 40.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
21-PCI 1         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
22-PCI 2         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
23-PCI 3         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
24-PCI 4         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
25-PCI 5         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
26-PCI 6         | na         |            | na    | na        | na        | na        | na        | 100.000   | na        
